,logFC,AveExpr,t,P.Value,adj.P.Val,B
cg01998345,0.489103490800248,0.713198762081635,61.4723537491451,1.7328381502049e-279,2.52912199862792e-275,630.184306678392
cg19546792,0.448027119330093,0.752117507711422,61.337402473899,6.13128044957415e-279,8.66911322890991e-275,628.920902145973
cg17472120,0.391056546193979,0.710181427923939,60.9882252830844,1.62711502572612e-277,2.23088810525715e-273,625.642922087571
cg06928741,0.539753438637719,0.622112348394936,60.8796180077317,4.52320045252064e-277,6.01922239513035e-273,624.62068944066
cg25558440,0.272798838998661,0.790659739100869,60.7391509206692,1.70036031252693e-276,2.19809464138214e-272,623.296710498807
cg12416290,0.503244116203216,0.743209723088056,60.5599501322118,9.23743872929139e-276,1.16097412927335e-271,621.604567621276
cg01053463,-0.534764640576249,0.228457859838709,-60.4106132392514,3.79504629890643e-275,4.6407569812949e-271,620.191778932339
cg02353916,0.615739322687245,0.505854240888006,60.2366797396902,1.97365824097269e-274,2.34996734763899e-270,618.543260417553
cg07912251,-0.44436457366221,0.200654697055385,-60.1600400362847,4.08540214530287e-274,4.73962168422749e-270,617.815840606239
cg26423471,0.266108886722734,0.205323832884216,60.0723881606118,9.39584243057863e-274,1.06279427381065e-269,616.983119228756
cg09042759,0.39501778481415,0.780654392870511,60.0089747260505,1.71727713440449e-273,1.89509071047004e-269,616.380151212986
cg15768138,0.628662407079839,0.45506925813839,59.8521437697292,7.64510038592934e-273,8.23583001170211e-269,614.887043798759
cg06837308,0.507902729145007,0.6284190838434,59.6608439313278,4.74281576818825e-272,4.99046795991647e-268,613.062149615432
cg16187340,0.219296344299605,0.206243110590111,59.6394092582864,5.82048054363796e-272,5.98521337138778e-268,612.857426004595
cg06865993,0.39888755502893,0.705040985896175,59.5532439280885,1.32629023608948e-271,1.33351999153199e-267,612.033950224967
cg21214449,0.441858304472951,0.67063721768759,59.4684582096651,2.9849346644559e-271,2.93596226899362e-267,611.222866722602
cg07224147,0.407650795289887,0.399915804404319,59.4617586682351,3.1826352980595e-271,3.06381465641046e-267,611.158743522085
cg08254307,0.29147676779068,0.236196466459002,59.1319581329101,7.52499035959534e-270,7.09313429827082e-266,607.996043146451
cg21426559,0.334186040252109,0.341302669971739,59.1168055621367,8.70453185529594e-270,8.03753377862084e-266,607.850446819478
cg04105760,0.340078542505378,0.260758622894204,59.1136727870028,8.97059948283028e-270,8.11754929561001e-266,607.820341807769
cg02641288,0.306562308407487,0.237777441148857,58.8655993677633,9.76687328303388e-269,8.66480611280103e-265,605.432998123096
cg07143583,0.335935506727213,0.578401650754231,58.7980923734531,1.8725816776655e-268,1.62933691885537e-264,604.78216633077
cg22943115,0.594519234852446,0.473984301915443,58.4211658154546,7.15877219765792e-267,6.11133576820174e-263,601.138958604642
cg21957905,0.743461774033538,0.454487289250854,58.3697139774096,1.17861428857501e-266,9.87532538349311e-263,600.640424151594
cg24222817,0.388972773087249,0.3789164587974,58.2503520216188,3.75140350707749e-266,3.08606140179588e-262,599.482750653257
cg22876699,0.616731936874092,0.710665209824393,58.2397175302632,4.15935338287858e-266,3.3605569931135e-262,599.379531331122
cg05025071,0.659276203792463,0.474874919841321,58.2327366112407,4.45100817021662e-266,3.53310877129652e-262,599.311767053941
cg14028622,0.436969296735219,0.617112375962025,58.1405591458622,1.08971490613502e-265,8.50077204181909e-262,598.416484127088
cg13471521,0.307395156651306,0.798807382411255,57.8755858539722,1.43682787742211e-264,1.10185946376825e-260,595.837617668492
cg09522532,0.296909530963524,0.332860749027711,57.844938484508,1.93720980374653e-264,1.46082731222422e-260,595.538833488048
cg17189020,0.516919867350148,0.736781413971594,57.7950817430858,3.15054303622476e-264,2.33684040716229e-260,595.052550281025
cg21160842,0.553549337087436,0.58949456435961,57.791533166459,3.26154145579113e-264,2.38015196176946e-260,595.017928221171
cg13697735,0.358344405086284,0.361613878559679,57.7810635749987,3.61237247410107e-264,2.59433136988008e-260,594.915772321681
cg15268691,0.281051390507066,0.220242189085253,57.7639518237982,4.26896674463232e-264,3.01797939142051e-260,594.748779792061
cg07423571,0.364297308630399,0.371934661029759,57.7312603690885,5.87393438518074e-264,4.08873728365874e-260,594.42965452105
cg04626451,0.275624679138452,0.246590159964512,57.6904866281583,8.74733655401356e-264,5.99660403920167e-260,594.031463949268
cg14152591,0.577244132351209,0.418206333934949,57.6847268735221,9.25364968737982e-264,6.16604975529913e-260,593.975199948954
cg17093684,0.336023811158231,0.727552699878969,57.6845785289283,9.2670704661112e-264,6.16604975529913e-260,593.973750799748
cg05987705,0.389843500413998,0.719263258212757,57.6524603809367,1.2683575490526e-263,8.31698808900719e-260,593.659936690498
cg13935394,0.375982239655524,0.561832295142051,57.5319373883819,4.12241123339233e-263,2.66456761397437e-259,592.481318346485
cg16506970,0.672733174844772,0.47399304096127,57.4013820120396,1.48071773050233e-262,9.43598844111227e-259,591.202745790908
cg26469895,0.325567303589831,0.753535101065453,57.3099494560019,3.62977107922847e-262,2.28097335293078e-258,590.306171566844
cg26720404,0.241238942432126,0.182406537974395,57.2838417481527,4.68970814169595e-262,2.90667468196542e-258,590.049989970223
cg10967101,0.27887157728782,0.207295701975953,57.2285084238375,8.07378741219166e-262,4.93649910271399e-258,589.506777718443
cg16907029,0.335390562550036,0.251215485509766,57.1463260727565,1.81036118521661e-261,1.09213779911308e-257,588.699347126528
cg22795218,0.415861262254707,0.670419923626208,56.9682052671638,1.04466926037402e-260,6.13849014109098e-257,586.946708620932
cg13851870,0.591513887448542,0.568437014249272,56.9471996901148,1.28484463696403e-260,7.4529719298498e-257,586.739784869272
cg17745122,0.26087220826682,0.192959325553066,56.9386397043138,1.39791418329483e-260,8.00620843005435e-257,586.655446977928
cg23275644,0.648855358729225,0.484769486925984,56.8467880762646,3.45747466908692e-260,1.95543098306548e-256,585.74994832984
cg24698211,0.418581857167072,0.460881078743582,56.8355659486488,3.86221948364184e-260,2.15737381732371e-256,585.639251790103
cg05062694,0.48233090888772,0.670874961478994,56.7788219741263,6.76137524407721e-260,3.73073721135179e-256,585.079302513939
cg00454592,0.645016109975741,0.549453526876762,56.7694176217563,7.4191872977198e-260,4.0443777715846e-256,584.986465028848
cg16378063,0.67588860609857,0.469810206488769,56.5488738732842,6.56436081706142e-259,3.49419381736693e-255,582.806422672156
cg24474182,0.648408246039754,0.498145405958611,56.5267330108767,8.17297418335266e-259,4.2998682420703e-255,582.587257183369
cg00491963,0.300907111432593,0.224065572225974,56.4578535693518,1.61681665202853e-258,8.40843154781915e-255,581.905083154018
cg02913521,0.427525537516068,0.509952192423442,56.4452069210051,1.83267337267214e-258,9.42271097142761e-255,581.779773320122
cg06497752,0.286767923661052,0.209873377169505,56.4380917843299,1.96656466090751e-258,9.99750652271447e-255,581.709264662159
cg25431399,-0.379094699075184,0.243101484188544,-56.4310079016457,2.10959635835943e-258,1.06054800125422e-254,581.639059972845
cg08392746,0.349678931444026,0.810037529822183,56.3816263501195,3.44208286776263e-258,1.71140738436022e-254,581.149505621579
cg14784293,0.275204299479874,0.725115063018488,56.3298524082936,5.7527300490149e-258,2.82917387920319e-254,580.635934287157
cg06462874,0.345126457770759,0.415952987849785,56.3275300628863,5.88684019756705e-258,2.86399839560194e-254,580.612890606308
cg16436762,0.621742580724326,0.395298124605551,56.3146632596272,6.68862982506315e-258,3.21945811727585e-254,580.485207409929
cg15980656,0.620681393764887,0.44045898295769,56.303994007128,7.43578858557374e-258,3.54141563464063e-254,580.379317144869
cg01202731,0.462750760632424,0.668637555063889,56.2532011771623,1.2312529481336e-257,5.80295927231137e-254,579.875029387928
cg10565256,0.391535425650651,0.652130631674401,56.2064021620785,1.96001537303679e-257,9.14242098532592e-254,579.410131883922
cg01974660,0.222978543938233,0.860569790828306,56.1398028207877,3.80002904593419e-257,1.75442300195925e-253,578.74810663331
cg01919250,0.360386621577037,0.605700159692919,56.1256979372532,4.3722987394868e-257,1.99824210260305e-253,578.607832908315
cg15142192,0.664034860750707,0.462616916819535,56.0867841939201,6.43932607487213e-257,2.91349240055412e-253,578.220715507983
cg26278611,0.413910519610403,0.71363849419402,55.9500917147563,2.51206611848615e-256,1.12533846683902e-252,576.859507725047
cg14108789,0.21202910236841,0.155781647613065,55.9413010697598,2.74209307076897e-256,1.21634140798886e-252,576.771895416223
cg01253753,0.598597394001826,0.500880958640151,55.9203788415939,3.37801445745702e-256,1.48387648089301e-252,576.563337444558
cg08884539,-0.259768402537189,0.795005156390901,-55.9185989385897,3.43849427903732e-256,1.49592024233969e-252,576.545592604063
cg03241244,0.229965072306748,0.171365933435758,55.9027128264546,4.02865969535609e-256,1.735980157279e-252,576.387198989312
cg07895186,0.286195488086251,0.2443773902905,55.8520215280806,6.67967563766093e-256,2.85116913328925e-252,575.881583515281
cg04683551,0.305608994570166,0.235779291536299,55.8325442718707,8.11269204205179e-256,3.42384279944548e-252,575.687230799825
cg18538297,0.271738762566033,0.197928517417625,55.8318061733043,8.17267257240226e-256,3.42384279944548e-252,575.679864864954
cg05463027,0.20492003581791,0.184705085633397,55.7572559403051,1.72037927458281e-255,7.07627967202562e-252,574.935559275384
cg25144696,0.306425248663598,0.224436728543587,55.7351139343804,2.14629044403753e-255,8.74860856104608e-252,574.714371232229
cg11767392,0.298523883809212,0.233076652981452,55.7248358032531,2.37842274575147e-255,9.60825452306686e-252,574.611678402087
cg23215407,0.367242290690469,0.268224898479974,55.7140482012433,2.64914706789878e-255,1.06072083036461e-251,574.5038821397
cg22719913,0.262145685005258,0.197223497596607,55.6909024959459,3.33868582922925e-255,1.32508633288795e-251,574.272550896989
cg01928820,-0.277895511114333,0.498455653155449,-55.688811508036,3.40920650298999e-255,1.3413093129542e-251,574.251649338442
cg19225688,0.508819866594532,0.467497794659236,55.6037936054541,7.97871385939374e-255,3.05931612019007e-251,573.40138104915
cg15085879,0.208755101049872,0.197185507518923,55.5288533535146,1.68942868046102e-254,6.4234207963078e-251,572.651207284245
cg00649606,0.275185745250576,0.208754343475076,55.4914036146078,2.45844333930741e-254,9.26941720166379e-251,572.276081103727
cg06173520,0.591459795767585,0.497094431133793,55.4834715095112,2.66180874455162e-254,9.95325084213732e-251,572.196606044801
cg04600000,0.350201541796332,0.710836132484055,55.4517184801946,3.65916605810706e-254,1.35704972171206e-250,571.878386315416
cg19639873,0.26734946728849,0.197424724101616,55.4376462352035,4.21354695842926e-254,1.54994468453837e-250,571.737320993984
cg04366628,0.594403889682768,0.389857089706763,55.4360747164111,4.28045867061513e-254,1.56185997330309e-250,571.721566092481
cg25741594,0.5524075877645,0.439863768264832,55.4116127510238,5.47034714938764e-254,1.96434522125547e-250,571.476291387305
cg07972191,0.25733542861177,0.192392397474537,55.3133471571543,1.46634162040337e-253,5.22402098564066e-250,570.49030532948
cg02349669,-0.657900548522707,0.372144007582145,-55.2476571039412,2.83640955703603e-253,1.00261094789814e-249,569.830554121691
cg22175006,0.650635523063667,0.471785648281023,55.2285635397584,3.4363229492773e-253,1.20525164912354e-249,569.63869595908
cg16897608,0.299192761138943,0.644073602858309,55.1989804087576,4.62628205003678e-253,1.6101347633733e-249,569.341351713165
cg10396484,0.200752255614356,0.166401315533713,55.1897100433011,5.07818773643634e-253,1.75392463810216e-249,569.248153038385
cg03872745,0.290471799981246,0.216385687723923,55.1864000215034,5.2500344363024e-253,1.7995407809154e-249,569.214873652807
cg08079052,0.313515286921959,0.231909959542426,55.1126547906991,1.10234626784389e-252,3.75007425507347e-249,568.473099433322
cg20203915,0.252599184784505,0.184929525625174,55.0809564587661,1.51661849344491e-252,5.12088497921365e-249,568.154064110442
cg12884605,0.32615505839497,0.285617894471026,55.045950388849,2.1575067482374e-252,7.23089185748338e-249,567.80160146384
cg13823964,0.480367447108429,0.365776044101571,54.9862907700933,3.93528667191115e-252,1.30921489747516e-248,567.200583054192
cg04346672,0.549579431568795,0.443333580693374,54.9796463281034,4.20783223293441e-252,1.38966884473567e-248,567.133620471561
cg17209826,0.252135995148271,0.22495917468072,54.9711661088962,4.58330442143993e-252,1.50270277927084e-248,567.048149485236
cg22575498,0.337602505131912,0.819697156169811,54.9696766047582,4.65263576038477e-252,1.51445971776501e-248,567.033136108919
cg04464357,0.266070287163281,0.194610003288248,54.9559155844029,5.34494998397509e-252,1.72738475364249e-248,566.894420425341
cg13965062,0.203642745339879,0.15784651528814,54.9272756872431,7.1343986851824e-252,2.28934758035946e-248,566.605649945703
cg27380499,0.385100298392118,0.275962782124921,54.9149414657003,8.07944506423139e-252,2.57434447721597e-248,566.48125695379
cg05758804,0.436453120343782,0.315052484406784,54.9123713691754,8.29162358981208e-252,2.62347550215472e-248,566.455334804474
cg21167046,0.421181689436945,0.318869920938136,54.9109869357514,8.40822038666934e-252,2.64189204070118e-248,566.441371005952
cg11510999,0.583154860589744,0.597810791677418,54.832967328981,1.84767418963846e-251,5.76541882844475e-248,565.65408133412
cg15963463,-0.36513281761942,0.492945216283429,-54.8158859306889,2.19546124220378e-251,6.80371935218375e-248,565.481619544378
cg04653776,0.253476460471014,0.199287389292499,54.8131532333014,2.25688678939344e-251,6.94649794912537e-248,565.45402579335
cg17015133,0.349394776217665,0.603428650843371,54.7965498848355,2.66888827900128e-251,8.15909803039841e-248,565.286352685116
cg04762615,0.242460447485068,0.174648467132525,54.7600061100687,3.86061831421074e-251,1.17231432088563e-247,564.917192770298
cg26177213,0.568553719433508,0.44191036663617,54.717325781859,5.94280514546601e-251,1.79256001098769e-247,564.485844821642
cg21852792,0.654072056870332,0.465392453360156,54.7132852877812,6.19057527613103e-251,1.85493003669623e-247,564.444998615076
cg14972383,0.54152366841686,0.554244749843201,54.6897012329854,7.85763265019262e-251,2.33895359570895e-247,564.206544362441
cg26928972,0.659841440287909,0.496133195830832,54.6881686877074,7.98035674599741e-251,2.35995839921357e-247,564.191046815663
cg02171500,0.246343901366676,0.17862679762427,54.6605279901832,1.05544180782108e-250,3.10089488489656e-247,563.911488849922
cg20630277,-0.250024506635042,0.186249837618497,-54.6463606976797,1.21808964325116e-250,3.55566653779301e-247,563.768166249759
cg14092536,0.237472991173345,0.175872872952248,54.6196200294965,1.59659187241048e-250,4.60116421941234e-247,563.49758184467
cg13855276,0.239787170973996,0.178126680333279,54.5914717230841,2.12292068272654e-250,6.07925209912451e-247,563.212663400371
cg10600367,0.228439855958438,0.809767035632698,54.5694812194756,2.65235658156654e-250,7.54758926037438e-247,562.990009999307
cg03479491,0.439793726767679,0.709651252107693,54.544135322259,3.42858609237407e-250,9.69546289533079e-247,562.733313078376
cg01288611,0.348576328547343,0.778138402081119,54.5418904962424,3.50744144261279e-250,9.85684722381669e-247,562.71057441466
cg18485946,0.385894821375545,0.618159434056698,54.5306827994277,3.92915184910765e-250,1.09738058122488e-246,562.597038726237
cg27352063,0.256573569277123,0.184625104574836,54.4587196374641,8.14804647450267e-250,2.26172274326881e-246,561.867690267005
cg11239575,0.642219703125321,0.486487187748427,54.4528854094094,8.64460386296747e-250,2.38492497049465e-246,561.808533622533
cg26902350,0.20481494871365,0.168581456629967,54.3983597615392,1.5029267363708e-249,4.12123461000715e-246,561.255473291355
cg05857203,0.206664155166749,0.15134569010454,54.2882948282417,4.59461527552561e-249,1.25231775015505e-245,560.138008368185
cg25215298,0.272405046229918,0.204670608428489,54.2796884676293,5.01445027257094e-249,1.35856471208116e-245,560.050569931339
cg22792938,0.250530759263508,0.185717675097628,54.2747262719127,5.27375476341154e-249,1.42031319283919e-245,560.000151328983
cg23871507,0.529252616979317,0.505629369336398,54.2714919106059,5.44995379367366e-249,1.45908162355564e-245,559.967286904946
cg10831391,0.24253606951178,0.184874605305844,54.2582963723856,6.23201996790202e-249,1.65864478266892e-245,559.833193983158
cg24328944,0.441813729964106,0.515834854653725,54.248486647538,6.88538060505664e-249,1.82181936309923e-245,559.733494402391
cg04382396,0.613168171944306,0.511147319500719,54.2442691302172,7.18695864858186e-249,1.89055872175977e-245,559.690626858585
cg04430797,0.226443180574646,0.167343408067699,54.2422746695144,7.33414544877077e-249,1.91812491949866e-245,559.67035410198
cg17987651,0.218583700999325,0.170405333456573,54.2138177692317,9.79472155348119e-249,2.54692594887197e-245,559.381052143103
cg02640612,0.237024892161792,0.189971158521443,54.2072143075276,1.04749876825729e-248,2.69980303742263e-245,559.313905628494
cg07497907,0.407353943261691,0.663468243731186,54.2069612071208,1.05019821856941e-248,2.69980303742263e-245,559.311331905103
cg13422921,0.596852189603359,0.42031299824317,54.1903509404952,1.24346513759806e-248,3.17858492599806e-245,559.142409221434
cg17394623,0.637835503016602,0.494211408266744,54.1766765642092,1.42902425237672e-248,3.63239500034047e-245,559.003319532633
cg08772111,0.345414784810644,0.769900657859114,54.1668463780146,1.57931924099166e-248,3.99199848348826e-245,558.903317651484
cg14138540,0.600967925299337,0.342486979981219,54.1506855606441,1.86157293200542e-248,4.67930143224805e-245,558.738889941253
cg13823003,0.247712871036469,0.184481730757957,54.1175691834962,2.60767628258093e-248,6.51851357504192e-245,558.401852430341
cg15601807,0.510287300539417,0.648575517917346,54.1118131912664,2.76503566406665e-248,6.87389385337334e-245,558.343258420367
cg02177646,0.243764777445451,0.183451011752565,54.1014980207208,3.07119937683887e-248,7.59329711283539e-245,558.2382437948
cg05467458,0.411179778007139,0.603694622718402,54.0960568745623,3.24614238610547e-248,7.9822112011988e-245,558.182844615581
cg09360715,0.215148592071483,0.17526993838863,54.0933058989416,3.33835372046052e-248,8.16458462639742e-245,558.154834155004
cg07744430,0.434438873172237,0.396849622067908,54.0661441777951,4.40212060474633e-248,1.07083477095661e-244,557.878225410313
cg19741026,0.236263639687015,0.230244614919278,54.0577481788658,4.79515872494052e-248,1.16020532116338e-244,557.79270490141
cg16577540,0.257621371033229,0.19200741953786,54.0284083063165,6.4657796157551e-248,1.55609648111024e-244,557.49378771835
cg03348161,0.61272437260198,0.438315399996715,53.9839972099032,1.01673310792479e-247,2.43398912634865e-244,557.041130610488
cg21043424,0.254907651582043,0.215361216387191,53.9830520124603,1.02657807571594e-247,2.4446227899574e-244,557.031494222607
cg11784564,0.425717477292555,0.653451385206025,53.978189666293,1.07875185255416e-247,2.55541629289888e-244,556.981920424673
cg25418777,0.236184152125184,0.18019059797689,53.9598591816965,1.30045825297525e-247,3.06456373923652e-244,556.79500785736
cg11151395,0.632924786714088,0.525282681163995,53.932694093225,1.71563973049535e-247,4.02200177710785e-244,556.517937590984
cg20704555,0.57471533495789,0.52610764198493,53.9081474740184,2.20388807545579e-247,5.13997820311442e-244,556.267499529025
cg02143404,0.614613726396097,0.491778963213348,53.8552390792664,3.78203711553569e-247,8.77535404633573e-244,555.727457283857
cg24504954,-0.522743819585272,0.247706728733809,-53.8400680428491,4.41574015016981e-247,1.01934432559428e-243,555.572543755209
cg13254979,0.280554570008052,0.207225756800397,53.837796758216,4.51935855165358e-247,1.03796819023925e-243,555.549349017975
cg18644543,0.232537662731658,0.170308392812008,53.8299160795506,4.898128211983e-247,1.11927919388704e-243,555.468865489787
cg17854284,0.272569304937415,0.203570938467354,53.8066990165558,6.20903049036365e-247,1.41170576505352e-243,555.23171241642
cg22986770,0.5775524004152,0.426615428232068,53.7928287175984,7.15430176842624e-247,1.61849264901488e-243,555.090002439096
cg02059927,0.529868817884059,0.462289076103647,53.7350108243476,1.29185972981446e-246,2.90798910613803e-243,554.499044061224
cg11796827,0.516549498885867,0.35893512534532,53.7274340528042,1.39592029504188e-246,3.12667487748805e-243,554.421572371433
cg16346032,0.487688473253927,0.346708360180391,53.7219415153024,1.47656481007783e-246,3.29101565524209e-243,554.365407510793
cg15964132,0.596039419150819,0.506271471366853,53.7063416160653,1.73196366160312e-246,3.84133409109469e-243,554.205868676674
cg24780185,0.382832798152948,0.7632694304264,53.6980329123881,1.88558714165899e-246,4.16165638539041e-243,554.120884528012
cg13204435,0.23898071452411,0.19240458889996,53.6963467793617,1.91839025077852e-246,4.21350205891017e-243,554.10363720922
cg05624376,0.610951044907833,0.464704864265564,53.6902635720276,2.04155814727174e-246,4.4623628425485e-243,554.041409776446
cg15043926,0.222723758997112,0.168506727731309,53.6246589262464,3.99514545629394e-246,8.69045936123348e-243,553.37003675205
cg10192196,0.253696819013696,0.196279791255732,53.6168660780869,4.32694638507687e-246,9.36717642472338e-243,553.290253854279
cg09624525,0.261462711790924,0.226049590602742,53.5884065820429,5.79089789011007e-246,1.24767101098761e-242,552.998825480503
cg12339292,-0.271038786817804,0.234680319902393,-53.5459278314408,8.94816036273658e-246,1.91877819933709e-242,552.563659939246
cg23010344,0.207349914168491,0.150570730728051,53.5454371101255,8.99326763485704e-246,1.91935420811036e-242,552.558631588279
cg05822926,0.284133833601273,0.225058941037218,53.520008547928,1.16706250184051e-245,2.47906539974292e-242,552.298029703567
cg25015662,0.203456387332419,0.170879650128737,53.4927302334734,1.54362025130596e-245,3.26362436244922e-242,552.018385622612
cg20789700,0.576558679182896,0.450770535956195,53.4044903297688,3.81642924268537e-245,8.03141795414291e-242,551.113188389558
cg05043311,0.287375164741676,0.345433312211604,53.4015139407112,3.93481464843782e-245,8.24221616726684e-242,551.082639394904
cg11347955,0.309385483133749,0.751435204987897,53.3988759405264,4.04281043788755e-245,8.42940880669832e-242,551.05556266936
cg19148201,0.524862765117603,0.535142442716314,53.3530734546999,6.47006656660563e-245,1.33063683102746e-241,550.585309196886
cg21656672,0.231027877716752,0.173363370524667,53.3501275707251,6.66879907333848e-245,1.36530232901774e-241,550.555055322209
cg04089743,0.582893316687697,0.523095604336924,53.3388585762234,7.48707863488888e-245,1.5259239592754e-241,550.439314589682
cg05168378,0.245575904978721,0.181965773418282,53.3271638026779,8.44273651180775e-245,1.71297823451881e-241,550.319184849259
cg26416971,0.49828761147802,0.350051396291454,53.3199626952188,9.09098959556393e-245,1.83627031941147e-241,550.245206359494
cg20974482,0.210892173249673,0.155747138207246,53.3039629610365,1.07152903442332e-244,2.15474011649749e-241,550.080815678517
cg04160753,0.200836766892918,0.182297501545754,53.2914669965503,1.21834881559227e-244,2.42839461084215e-241,549.952403633769
cg24684709,0.390616590191749,0.69226548912855,53.280547653165,1.36304344731683e-244,2.70488200381071e-241,549.840178198614
cg17951613,0.205323884466451,0.150106001916777,53.2753941934177,1.43718969750556e-244,2.83956676945625e-241,549.787207704912
cg21837669,0.259000000790172,0.200637534634242,53.2735263762294,1.46504894537151e-244,2.88202517600077e-241,549.768008328189
cg12780433,0.243724114942342,0.184610684605647,53.2291740524566,2.31151212989252e-244,4.52749176496217e-241,549.311986949871
cg13883672,0.442110958843832,0.347967794682102,53.2115847002235,2.76990609812084e-244,5.40194967160805e-241,549.13107210785
cg05566243,0.308697669435496,0.810903202496929,53.2100854060642,2.81295571762503e-244,5.46236160217424e-241,549.115649453343
cg07695566,0.501665200210007,0.509731250550162,53.1577090863659,4.82190025368352e-244,9.26064521625929e-241,548.576706817601
cg15888699,0.244762433514842,0.176061708832269,53.1575387191875,4.83036308972908e-244,9.26064521625929e-241,548.574953238239
cg24312537,0.577891204882731,0.536850269643408,53.1267988246686,6.62848178548041e-244,1.26543310940336e-240,548.258492759348
cg17069914,0.596815712801188,0.472226175008432,53.0716688037456,1.16954193632542e-243,2.22337293158086e-240,547.690659437948
cg05498379,0.23436605737407,0.185059586585469,53.0378368602724,1.65739856170193e-243,3.12456229765718e-240,547.342014774636
cg12150817,0.212446870143698,0.166940360156928,53.0170223395765,2.05404260889997e-243,3.85625618474945e-240,547.127449374602
cg10827754,0.560200640716155,0.506075882331039,53.0113532372698,2.17767355333016e-243,4.07146666208632e-240,547.06900078148
cg07776993,0.216225252721462,0.896382310957262,53.0099150250198,2.21020530422231e-243,4.11528403502592e-240,547.054172166287
cg18118738,0.635452519210082,0.450703494846109,53.0054688928693,2.31388412110246e-243,4.29067136166054e-240,547.008328984524
cg04825119,0.224567367265333,0.171780809851335,52.9818782881494,2.95116323064547e-243,5.45005166202137e-240,546.765051536453
cg18548043,0.217660967644685,0.163809878549058,52.952009679344,4.01608103585775e-243,7.35663122638439e-240,546.456937140243
cg00031896,0.23265043226093,0.188877778473772,52.9351448465183,4.77942987557421e-243,8.71962655440797e-240,546.282918262182
cg10853231,0.327445915632816,0.269936340800821,52.9123134961671,6.04936714792356e-243,1.09921860007207e-239,546.04728012373
cg25773585,0.585452344664772,0.48249029874106,52.9088256438726,6.27112479022311e-243,1.13495568988433e-239,546.011277169012
